,location_ref,location_code,location_name,admin1_is_unspecified,admin2_is_unspecified,admin1_ref,admin1_code,admin1_name,admin2_ref,admin2_code,admin2_name,resource_hdx_id,gender,age_range,min_age,max_age,disabled_marker,sector_code,population_group,population_status,population,reference_period_start,reference_period_end,sector_name
30,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-GBV,REF,INN,65,2024-01-01 00:00:00,2024-12-31 23:59:59,Gender Based Violence
31,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-GBV,REF,TGT,7,2024-01-01 00:00:00,2024-12-31 23:59:59,Gender Based Violence
32,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-GBV,IDP,INN,2125,2024-01-01 00:00:00,2024-12-31 23:59:59,Gender Based Violence
33,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-GBV,IDP,TGT,213,2024-01-01 00:00:00,2024-12-31 23:59:59,Gender Based Violence
34,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-GBV,all,INN,609452,2024-01-01 00:00:00,2024-12-31 23:59:59,Gender Based Violence
35,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-GBV,all,TGT,60945,2024-01-01 00:00:00,2024-12-31 23:59:59,Gender Based Violence
36,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-HLP,IDP,INN,798,2024-01-01 00:00:00,2024-12-31 23:59:59,"Housing, Land and Property"
37,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-HLP,IDP,TGT,31,2024-01-01 00:00:00,2024-12-31 23:59:59,"Housing, Land and Property"
38,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-HLP,all,INN,248957,2024-01-01 00:00:00,2024-12-31 23:59:59,"Housing, Land and Property"
39,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-HLP,all,TGT,9695,2024-01-01 00:00:00,2024-12-31 23:59:59,"Housing, Land and Property"
40,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-MIN,IDP,INN,4250,2024-01-01 00:00:00,2024-12-31 23:59:59,Mine Action
41,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-MIN,IDP,TGT,1275,2024-01-01 00:00:00,2024-12-31 23:59:59,Mine Action
42,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-MIN,all,INN,33240,2024-01-01 00:00:00,2024-12-31 23:59:59,Mine Action
43,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,PRO-MIN,all,TGT,8467,2024-01-01 00:00:00,2024-12-31 23:59:59,Mine Action
44,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,SHL,IDP,INN,1918,2024-01-01 00:00:00,2024-12-31 23:59:59,Emergency Shelter and NFI
45,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,SHL,IDP,TGT,1918,2024-01-01 00:00:00,2024-12-31 23:59:59,Emergency Shelter and NFI
46,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,SHL,all,INN,102886,2024-01-01 00:00:00,2024-12-31 23:59:59,Emergency Shelter and NFI
47,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,SHL,all,TGT,19120,2024-01-01 00:00:00,2024-12-31 23:59:59,Emergency Shelter and NFI
48,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,WSH,all,INN,23852,2024-01-01 00:00:00,2024-12-31 23:59:59,Water Sanitation Hygiene
49,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,0-17,0.0,17.0,all,WSH,all,TGT,15504,2024-01-01 00:00:00,2024-12-31 23:59:59,Water Sanitation Hygiene
50,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,FSC,REF,INN,98,2024-01-01 00:00:00,2024-12-31 23:59:59,Food Security
51,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,FSC,REF,TGT,98,2024-01-01 00:00:00,2024-12-31 23:59:59,Food Security
52,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,FSC,IDP,INN,2009,2024-01-01 00:00:00,2024-12-31 23:59:59,Food Security
53,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,FSC,IDP,TGT,2009,2024-01-01 00:00:00,2024-12-31 23:59:59,Food Security
54,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,FSC,all,INN,392525,2024-01-01 00:00:00,2024-12-31 23:59:59,Food Security
55,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,FSC,all,TGT,392525,2024-01-01 00:00:00,2024-12-31 23:59:59,Food Security
56,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,HEA,all,INN,523366,2024-01-01 00:00:00,2024-12-31 23:59:59,Health
57,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,HEA,all,TGT,336444,2024-01-01 00:00:00,2024-12-31 23:59:59,Health
58,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,Intersectoral,REF,INN,98,2024-01-01 00:00:00,2024-12-31 23:59:59,Intersectoral
59,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,Intersectoral,REF,TGT,98,2024-01-01 00:00:00,2024-12-31 23:59:59,Intersectoral
60,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,Intersectoral,IDP,INN,4018,2024-01-01 00:00:00,2024-12-31 23:59:59,Intersectoral
61,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,Intersectoral,IDP,TGT,2810,2024-01-01 00:00:00,2024-12-31 23:59:59,Intersectoral
62,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,Intersectoral,all,INN,654208,2024-01-01 00:00:00,2024-12-31 23:59:59,Intersectoral
63,1,AFG,Afghanistan,False,False,1,AF01,Kabul,1,AF0101,Kabul,8e3931a5-452b-4583-9d02-2247a34e397b,f,18-64,18.0,64.0,all,Intersectoral,all,TGT,392525,2024-01-01 00:00:00,2024-12-31 23:59:59,Intersectoral
